text,date,sentiment,promotional,view_count,like_count,dislike_count,love_count,fire_count,happy_count,shocked_count,sad_count,party_count,star_eyes_count,total_reactions
"Finlyandiya o‘z hududida Amerika harbiy bazasini joylashtirish bo'yicha muzokaralar olib bormoqda

 https://uzreport.news/world/finlyandiya-o-z-hududida-amerika-harbiy-bazasini-joylashtirish-boyicha-muzokaralar-olib-bo

",2023-05-02 12:31:58,negative,no,2236,7,13,0,0,3,0,0,0,0,23
"""PSJ"" Messining o'rniga bir nechta nomzodlar ko'rib chiqilmoqda va yozgi transferlar uchun 225 million yevro sarflashga tayyor

 https://uzreport.news/football/psj-messining-orniga-bir-nechta-nomzodlar-korib-chiqilmoqda-va-yozgi-transferlar-uchun-225

",2023-05-02 11:45:48,positive,no,5952,15,0,0,0,26,0,0,0,0,41
"Endi 1-may Konstitutsiya kuni sifatida nishonlanadimi? 

Qonunchilik palatasi Spikeri o‘rinbosari Odiljon Tojiyev bunga izoh berdi

 https://uzreport.news/society/quyi-palata-1-may-konstitutsiya-kuni-sifatida-nishonlanishi-haqidagi-xabarlarga-izoh-berdi

",2023-05-02 11:31:41,negative,no,6416,1,27,0,0,1,0,0,0,0,29
"AQShda uchinchi yirik bank bankrot bo'ldi

Bank aksiyalari deyarli 50 foizga kamaydi, taxminan 100 milliard dollar miqdoridagi depozitlarning rekord darajaga chiqib ketishi kuzatilmoqda.

 https://uzreport.news/world/aqshda-uchinchi-yirik-bank-bankrot-boldi

",2023-05-02 10:20:02,positive,no,8157,27,1,0,0,1,3,0,7,0,39
"Yangi tahrirdagi Konstitutsiya 1-maydan kuchga kirdi

 https://uzreport.news/politics/yangi-tahrirdagi-konstitutsiya-1-maydan-kuchga-kirdi

",2023-05-01 21:45:07,negative,no,12683,26,60,0,0,0,0,0,0,0,86
"Shavkat Mirziyoyev MDH bosh kotibi Sergey Lebedevni qabul qildi

Uchrashuvda davlat rahbari ko‘p qirrali hamkorlikni ilgari surishda MDHning ahamiyatini qayd etdi

 https://uzreport.news/economy/ozbekneftgazdan-nokis-vinozavodigacha-3-oyda-eng-ko-p-soliq-to-lagan-20-ta-korxona-nomi-ma

",2023-05-01 21:32:15,negative,no,11247,17,30,0,0,0,0,0,0,0,47
"Qashqadaryoda ilk bor 2 nafar bolada yuqori texnologiyali kardiojarrohlik oreratsiyalari o'tkazildi

 https://uzreport.news/society/qashqadaryoda-ilk-bor-2-nafar-bolada-yuqori-texnologiyali-kardiojarrohlik-oreratsiyalari-o

",2023-05-01 20:46:01,positive,no,11136,30,1,0,0,0,0,0,0,0,31
"Yengil atletika: Toshkentda o'tkazilgan U18 V Osiyo Chempionatida o'zbekistonlik sportchilar 12 ta medalni qo'lga kirirtib, to'rtinchi o'rinni egalladi

 https://uzreport.news/sports/yengil-atletika-toshkentdagi-u18-v-osiyo-chempionatida-ozbekistonlik-sportchilar-12-ta-med

",2023-05-01 20:31:35,positive,no,11005,15,0,0,0,0,0,0,0,0,15
"O'zbekistonda 3 oyda eng ko'p soliq to'lagan xizmat ko‘rsatish sohasidagi TOP-20 korxonalar nomi ma'lum qilindi

 https://uzreport.news/economy/ozbekistonda-3-oyda-eng-kop-soliq-tolagan-xizmat-ko-rsatish-sohasidagi-top-20-korxonalar-n

",2023-05-01 20:16:24,positive,no,11262,10,0,0,0,1,1,0,0,0,12
"Oksana Chusovitina tayanib sakrash dasturida eng yaxshi sportchi deb e’lon qilindi

 https://uzreport.news/sports/oksana-chusovitina-tayanib-sakrash-dasturida-eng-yaxshi-sportchi-deb-e-lon-qilindi

",2023-05-01 20:00:02,positive,no,11002,49,0,0,12,0,0,0,0,0,61
"$1 mln mukofot jamgʻarmasiga ega Prezident Tech Award startaplar tanlovi boshlandi

 https://uzreport.news/technology/-1-mln-mukofot-jamg-armasiga-ega-prezident-tech-award-startaplar-tanlovi-boshlandi

",2023-05-01 19:31:39,positive,no,10847,11,0,0,0,0,0,0,0,0,11
